VARIABLES = TIME,e11,e22,e33,e12,e13,e23,s11,s22,s33,s12,s13,s23
  0.50000D-04  0.10000D-05  0.00000D+00  0.00000D+00 -0.19844D-22 -0.16536D-22  0.00000D+00  0.00000D+00  0.00000D+00  0.00000D+00  0.00000D+00  0.00000D+00  0.00000D+00
  0.25000D-02  0.50000D-04 -0.14983D-04 -0.14983D-04  0.87364D-10  0.11200D-09 -0.16727D-11  0.34314D+01  0.23618D-02  0.23620D-02  0.43317D-06  0.69093D-06 -0.32183D-06
  0.50000D-02  0.10000D-03 -0.29998D-04 -0.29998D-04  0.62220D-10  0.75524D-10  0.70820D-11  0.69298D+01 -0.12569D-05 -0.12611D-05 -0.17855D-06 -0.21614D-06  0.16547D-07
  0.75000D-02  0.15000D-03 -0.44996D-04 -0.44996D-04  0.57460D-10  0.67599D-10  0.82655D-11  0.10429D+02 -0.18830D-05 -0.18980D-05 -0.22581D-06 -0.31626D-06  0.15384D-07
  0.10000D-01  0.20000D-03 -0.59992D-04 -0.59992D-04  0.60789D-10  0.71825D-10  0.73709D-11  0.13929D+02 -0.17125D-06 -0.16665D-06 -0.10016D-06 -0.14894D-06 -0.55285D-08
  0.12500D-01  0.25000D-03 -0.74988D-04 -0.74988D-04  0.64154D-10  0.76578D-10  0.75585D-11  0.17428D+02 -0.19381D-06 -0.19422D-06 -0.69536D-08 -0.15334D-07  0.64438D-09
  0.15000D-01  0.30000D-03 -0.89982D-04 -0.89982D-04  0.65475D-10  0.78565D-10  0.75610D-11  0.20927D+02 -0.19477D-06 -0.19494D-06  0.21105D-07  0.28163D-07  0.15681D-09
  0.17500D-01  0.35000D-03 -0.10498D-03 -0.10498D-03  0.65467D-10  0.78633D-10  0.75499D-11  0.24426D+02 -0.19483D-06 -0.19476D-06  0.15398D-07  0.22095D-07 -0.85915D-10
  0.20000D-01  0.40000D-03 -0.11997D-03 -0.11997D-03  0.65124D-10  0.78168D-10  0.75544D-11  0.27925D+02 -0.19476D-06 -0.19477D-06  0.45439D-08  0.70619D-08  0.15397D-10
  0.22500D-01  0.45000D-03 -0.13496D-03 -0.13496D-03  0.64904D-10  0.77850D-10  0.75554D-11  0.31423D+02 -0.19474D-06 -0.19474D-06 -0.10030D-08 -0.10895D-08 -0.74976D-12
  0.25000D-01  0.50000D-03 -0.14995D-03 -0.14995D-03  0.64849D-10  0.77763D-10  0.75567D-11  0.34921D+02 -0.19471D-06 -0.19471D-06 -0.18084D-08 -0.25076D-08  0.13067D-11
  0.27500D-01  0.55000D-03 -0.16494D-03 -0.16494D-03  0.64869D-10  0.77787D-10  0.75581D-11  0.38420D+02 -0.19468D-06 -0.19468D-06 -0.91035D-09 -0.13394D-08  0.10585D-11
  0.30000D-01  0.60000D-03 -0.17993D-03 -0.17993D-03  0.64896D-10  0.77824D-10  0.75596D-11  0.41918D+02 -0.19465D-06 -0.19465D-06 -0.12510D-09 -0.22316D-09  0.14060D-12
  0.32500D-01  0.65000D-03 -0.19492D-03 -0.19492D-03  0.64907D-10  0.77841D-10  0.75613D-11  0.45415D+02 -0.19462D-06 -0.19462D-06  0.15197D-09  0.19837D-09  0.97374D-12
  0.35000D-01  0.70000D-03 -0.20990D-03 -0.20990D-03  0.64907D-10  0.77842D-10  0.75631D-11  0.48913D+02 -0.19459D-06 -0.19459D-06  0.12999D-09  0.18497D-09 -0.54519D-12
  0.37500D-01  0.75000D-03 -0.22489D-03 -0.22489D-03  0.64904D-10  0.77838D-10  0.75652D-11  0.52410D+02 -0.19456D-06 -0.19456D-06  0.44987D-10  0.68590D-10 -0.33679D-12
  0.40000D-01  0.80000D-03 -0.23988D-03 -0.23988D-03  0.64901D-10  0.77834D-10  0.75673D-11  0.55908D+02 -0.19453D-06 -0.19453D-06 -0.42129D-11 -0.30460D-11 -0.26317D-12
  0.42500D-01  0.85000D-03 -0.25486D-03 -0.25486D-03  0.64899D-10  0.77832D-10  0.75700D-11  0.59405D+02 -0.19450D-06 -0.19450D-06 -0.14216D-10 -0.19497D-10  0.15981D-11
  0.45000D-01  0.90000D-03 -0.26984D-03 -0.26984D-03  0.64898D-10  0.77831D-10  0.75718D-11  0.62902D+02 -0.19448D-06 -0.19447D-06 -0.80885D-11 -0.11792D-10 -0.39699D-11
  0.47500D-01  0.95000D-03 -0.28482D-03 -0.28482D-03  0.64898D-10  0.77830D-10  0.75740D-11  0.66399D+02 -0.19445D-06 -0.19445D-06 -0.15776D-11 -0.26194D-11 -0.20405D-11
  0.50000D-01  0.10000D-02 -0.29981D-03 -0.29981D-03  0.64897D-10  0.77829D-10  0.75767D-11  0.69895D+02 -0.19442D-06 -0.19442D-06  0.10490D-11  0.13256D-11  0.44893D-12
  0.52500D-01  0.10500D-02 -0.31479D-03 -0.31479D-03  0.64896D-10  0.77828D-10  0.75792D-11  0.73392D+02 -0.19439D-06 -0.19439D-06  0.10775D-11  0.15221D-11 -0.32834D-11
  0.55000D-01  0.11000D-02 -0.32976D-03 -0.32976D-03  0.64895D-10  0.77826D-10  0.75819D-11  0.76888D+02 -0.19436D-06 -0.19436D-06  0.43115D-12  0.64149D-12 -0.25114D-12
  0.57500D-01  0.11500D-02 -0.34474D-03 -0.34474D-03  0.64894D-10  0.77825D-10  0.75845D-11  0.80384D+02 -0.19433D-06 -0.19433D-06  0.72156D-15  0.23897D-13 -0.71626D-12
  0.60000D-01  0.12000D-02 -0.35972D-03 -0.35972D-03  0.64893D-10  0.77824D-10  0.75872D-11  0.83880D+02 -0.19430D-06 -0.19430D-06 -0.10783D-12 -0.14616D-12  0.14042D-11
  0.62500D-01  0.12500D-02 -0.37470D-03 -0.37470D-03  0.64892D-10  0.77823D-10  0.75900D-11  0.87376D+02 -0.19427D-06 -0.19427D-06 -0.71982D-13 -0.10126D-12  0.11540D-11
  0.65000D-01  0.13000D-02 -0.38967D-03 -0.38967D-03  0.64891D-10  0.77822D-10  0.75931D-11  0.90871D+02 -0.19424D-06 -0.19424D-06 -0.18283D-13 -0.25662D-13  0.19205D-11
  0.67500D-01  0.13500D-02 -0.40465D-03 -0.40465D-03  0.64890D-10  0.77821D-10  0.75956D-11  0.94366D+02 -0.19421D-06 -0.19421D-06  0.43886D-14  0.83633D-14 -0.38653D-11
  0.70000D-01  0.14000D-02 -0.41962D-03 -0.41962D-03  0.64889D-10  0.77819D-10  0.75985D-11  0.97862D+02 -0.19418D-06 -0.19418D-06  0.63631D-14  0.65600D-14  0.14840D-11
  0.72500D-01  0.14500D-02 -0.43459D-03 -0.43459D-03  0.64888D-10  0.77818D-10  0.76014D-11  0.10136D+03 -0.19416D-06 -0.19415D-06  0.17659D-14  0.14238D-14 -0.18085D-11
  0.75000D-01  0.15000D-02 -0.44956D-03 -0.44956D-03  0.64887D-10  0.77817D-10  0.76045D-11  0.10485D+03 -0.19413D-06 -0.19412D-06  0.10082D-15  0.16020D-14  0.32175D-11
  0.77500D-01  0.15500D-02 -0.46453D-03 -0.46453D-03  0.64886D-10  0.77816D-10  0.76074D-11  0.10835D+03 -0.19410D-06 -0.19410D-06  0.34537D-15 -0.31321D-15 -0.39706D-11
  0.80000D-01  0.16000D-02 -0.47950D-03 -0.47950D-03  0.64885D-10  0.77815D-10  0.76107D-11  0.11184D+03 -0.19407D-06 -0.19407D-06  0.88817D-15  0.28902D-14 -0.25176D-11
  0.82500D-01  0.16500D-02 -0.49447D-03 -0.49447D-03  0.64884D-10  0.77814D-10  0.76139D-11  0.11534D+03 -0.19404D-06 -0.19404D-06 -0.81751D-15  0.19498D-15  0.17771D-11
  0.85000D-01  0.17000D-02 -0.50944D-03 -0.50944D-03  0.64883D-10  0.77813D-10  0.76171D-11  0.11883D+03 -0.19401D-06 -0.19400D-06 -0.12259D-14  0.62928D-15  0.11654D-12
  0.87500D-01  0.17500D-02 -0.52440D-03 -0.52440D-03  0.64882D-10  0.77811D-10  0.76205D-11  0.12232D+03 -0.19396D-06 -0.19396D-06 -0.29285D-14 -0.24865D-14 -0.29770D-11
  0.90000D-01  0.18000D-02 -0.53937D-03 -0.53937D-03  0.64881D-10  0.77810D-10  0.76244D-11  0.12582D+03 -0.19386D-06 -0.19386D-06 -0.86068D-14 -0.51676D-14  0.14426D-11
  0.92500D-01  0.18500D-02 -0.55433D-03 -0.55433D-03  0.64880D-10  0.77809D-10  0.76276D-11  0.12931D+03 -0.19350D-06 -0.19349D-06 -0.19455D-14  0.20121D-14 -0.10457D-11
  0.95000D-01  0.19000D-02 -0.56930D-03 -0.56930D-03  0.64879D-10  0.77808D-10  0.76314D-11  0.13280D+03 -0.19185D-06 -0.19184D-06 -0.25063D-14  0.48121D-14  0.14560D-11
  0.97500D-01  0.19500D-02 -0.58426D-03 -0.58426D-03  0.64878D-10  0.77807D-10  0.76354D-11  0.13630D+03 -0.18407D-06 -0.18407D-06 -0.18188D-14 -0.40530D-14 -0.43142D-12
  0.10000D+00  0.20000D-02 -0.59922D-03 -0.59922D-03  0.64877D-10  0.77806D-10  0.76392D-11  0.13979D+03 -0.14693D-06 -0.14693D-06  0.86681D-15 -0.47813D-14 -0.19389D-11
  0.10250D+00  0.20500D-02 -0.61418D-03 -0.61418D-03  0.64876D-10  0.77804D-10  0.76430D-11  0.14328D+03  0.30779D-07  0.30784D-07 -0.37364D-14 -0.65888D-14  0.16227D-11
  0.10500D+00  0.21000D-02 -0.62914D-03 -0.62914D-03  0.64876D-10  0.77803D-10  0.76464D-11  0.14678D+03  0.88082D-06  0.88082D-06 -0.15798D-15  0.23386D-14  0.30180D-11
  0.10750D+00  0.21500D-02 -0.64411D-03 -0.64411D-03  0.64875D-10  0.77802D-10  0.76506D-11  0.15026D+03  0.49337D-05  0.49336D-05  0.39759D-14  0.41642D-14  0.30155D-11
  0.11000D+00  0.22000D-02 -0.65911D-03 -0.65911D-03  0.64874D-10  0.77801D-10  0.76545D-11  0.15374D+03  0.23956D-04  0.23956D-04 -0.13910D-14 -0.81521D-15 -0.10779D-11
  0.11250D+00  0.22500D-02 -0.67426D-03 -0.67426D-03  0.64873D-10  0.77800D-10  0.76588D-11  0.15717D+03  0.10692D-03  0.10692D-03  0.76417D-14  0.67905D-14  0.14128D-11
  0.11500D+00  0.23000D-02 -0.69005D-03 -0.69005D-03  0.64872D-10  0.77799D-10  0.76627D-11  0.16038D+03  0.36871D-03  0.36871D-03  0.27416D-13  0.26753D-13 -0.34321D-11
  0.11750D+00  0.23500D-02 -0.70774D-03 -0.70774D-03  0.64870D-10  0.77797D-10  0.76681D-11  0.16293D+03  0.59589D-03  0.59589D-03  0.41482D-13  0.44363D-13  0.70668D-11
  0.12000D+00  0.24000D-02 -0.72815D-03 -0.72815D-03  0.64869D-10  0.77796D-10  0.76737D-11  0.16453D+03  0.32523D-03  0.32523D-03  0.25056D-13  0.27523D-13 -0.34405D-12
  0.12250D+00  0.24500D-02 -0.75019D-03 -0.75019D-03  0.64868D-10  0.77794D-10  0.76810D-11  0.16554D+03  0.97958D-04  0.97958D-04  0.29827D-14  0.69000D-14  0.10419D-11
  0.12500D+00  0.25000D-02 -0.77277D-03 -0.77277D-03  0.64866D-10  0.77792D-10  0.76887D-11  0.16637D+03  0.29616D-04  0.29616D-04 -0.11306D-14  0.42141D-14  0.10042D-10
  0.12750D+00  0.25500D-02 -0.79551D-03 -0.79551D-03  0.64865D-10  0.77790D-10  0.76964D-11  0.16713D+03  0.13702D-04  0.13702D-04  0.42763D-15 -0.12457D-15  0.25442D-11
  0.13000D+00  0.26000D-02 -0.81832D-03 -0.81832D-03  0.64863D-10  0.77789D-10  0.77035D-11  0.16787D+03  0.10251D-04  0.10251D-04  0.32217D-14 -0.98143D-16 -0.92734D-11
  0.13250D+00  0.26500D-02 -0.84118D-03 -0.84118D-03  0.64862D-10  0.77787D-10  0.77109D-11  0.16858D+03  0.96195D-05  0.96195D-05  0.13401D-14  0.28969D-14 -0.38349D-11
  0.13500D+00  0.27000D-02 -0.86410D-03 -0.86410D-03  0.64860D-10  0.77785D-10  0.77178D-11  0.16929D+03  0.96806D-05  0.96806D-05 -0.25426D-14  0.13011D-14 -0.13850D-10
  0.13750D+00  0.27500D-02 -0.88706D-03 -0.88706D-03  0.64859D-10  0.77783D-10  0.77260D-11  0.16997D+03  0.99799D-05  0.99799D-05 -0.19638D-14  0.93760D-15 -0.15470D-11
  0.14000D+00  0.28000D-02 -0.91007D-03 -0.91007D-03  0.64857D-10  0.77781D-10  0.77351D-11  0.17063D+03  0.10427D-04  0.10427D-04  0.35038D-14  0.14975D-15  0.35967D-12
  0.14250D+00  0.28500D-02 -0.93313D-03 -0.93313D-03  0.64856D-10  0.77780D-10  0.77427D-11  0.17128D+03  0.11011D-04  0.11011D-04  0.14049D-14  0.14273D-14 -0.59045D-11
  0.14500D+00  0.29000D-02 -0.95625D-03 -0.95625D-03  0.64854D-10  0.77778D-10  0.77508D-11  0.17190D+03  0.11740D-04  0.11740D-04 -0.12752D-14  0.15918D-14  0.46638D-12
  0.14750D+00  0.29500D-02 -0.97943D-03 -0.97943D-03  0.64853D-10  0.77776D-10  0.77592D-11  0.17251D+03  0.12626D-04  0.12626D-04  0.24158D-14  0.71608D-15  0.49140D-12
  0.15000D+00  0.30000D-02 -0.10027D-02 -0.10027D-02  0.64851D-10  0.77774D-10  0.77673D-11  0.17309D+03  0.13685D-04  0.13685D-04 -0.20808D-14 -0.34757D-14  0.91133D-11
