 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="  0.1000D+01" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.1422727481E+01   0.1284414014E+01   0.1272996187E-04   0.3791753201E+02   0.4003100023E+01  -0.4719112890E-04   0.1232013858E+02  -0.1089429176E-08   0.3236756818E-08
  -0.2416174902E+00   0.7436221719E+00   0.0000000000E+00   0.3791719262E+02   0.4003398201E+01   0.2711343384E-05   0.1232061311E+02   0.5435226552E-03   0.1766048067E-03
   0.1994832649E-13  -0.6139463604E-13   0.7818906228E+00   0.3791786420E+02   0.4002726619E+01   0.2711343244E-05   0.1231968876E+02  -0.5435247658E-03  -0.1765983112E-03
   0.1664352836E+01   0.5407676379E+00   0.7818778929E+00   0.3791753201E+02   0.4003100023E+01  -0.4719112857E-04   0.1232013858E+02  -0.1021149714E-08   0.3258942058E-08
   0.1422727481E+01   0.1284414014E+01   0.7818778929E+00   0.3791753200E+02   0.4003100023E+01  -0.4719112868E-04   0.1232013857E+02   0.1091238728E-08  -0.3236090832E-08
  -0.2416174902E+00   0.7436221719E+00   0.7818906228E+00   0.3791719262E+02   0.4003398200E+01   0.2711342574E-05   0.1232061311E+02  -0.5435226540E-03  -0.1766048064E-03
   0.3328697807E+01   0.1081559480E+01  -0.2537844681E-11   0.3791719262E+02   0.4003398201E+01   0.2711352301E-05   0.1232061311E+02  -0.5435227264E-03  -0.1766048296E-03
   0.3087080317E+01   0.1825181652E+01  -0.2387263442E-11   0.3791786420E+02   0.4002726619E+01   0.2711351672E-05   0.1231968876E+02  -0.5435248338E-03  -0.1765983330E-03
   0.3328697807E+01   0.1081559480E+01   0.7818906228E+00   0.3791719262E+02   0.4003398201E+01   0.2711351352E-05   0.1232061311E+02   0.5435227231E-03   0.1766048290E-03
   0.3087080317E+01   0.1825181652E+01   0.7818906228E+00   0.3791786420E+02   0.4002726619E+01   0.2711351987E-05   0.1231968875E+02   0.5435248367E-03   0.1765983344E-03
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="  0.1150D+02" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.3328090815E+02   0.8639682680E+01   0.2711260727E-05   0.1695689749E+02   0.5087926114E-03   0.2592389575E-03
   0.1559267190E+01   0.7944720456E+00   0.1271960199E-04   0.3328045459E+02   0.8640177412E+01  -0.4715369412E-04   0.1695721601E+02   0.1514103245E-08  -0.3054940037E-08
   0.1204284730E+01   0.1491164350E+01   0.1271960204E-04   0.3328045458E+02   0.8640177411E+01  -0.4715369396E-04   0.1695721601E+02  -0.1579827694E-08   0.3021534377E-08
  -0.3549709146E+00   0.6966696461E+00   0.0000000000E+00   0.3327998454E+02   0.8640606279E+01   0.2711261413E-05   0.1695756852E+02   0.5087895168E-03   0.2592450336E-03
   0.2930696654E-13  -0.5751816041E-13   0.7818906228E+00   0.3328090814E+02   0.8639682679E+01   0.2711261514E-05   0.1695689748E+02  -0.5087926125E-03  -0.2592389582E-03
   0.1559267190E+01   0.7944720456E+00   0.7818779032E+00   0.3328045458E+02   0.8640177411E+01  -0.4715369421E-04   0.1695721601E+02  -0.1515876462E-08   0.3054119148E-08
   0.1204284730E+01   0.1491164350E+01   0.7818779032E+00   0.3328045458E+02   0.8640177410E+01  -0.4715369397E-04   0.1695721601E+02   0.1581522619E-08  -0.3020587337E-08
  -0.3549709146E+00   0.6966696461E+00   0.7818906228E+00   0.3327998454E+02   0.8640606278E+01   0.2711260699E-05   0.1695756852E+02  -0.5087895156E-03  -0.2592450332E-03
   0.3118522835E+01   0.1588966749E+01  -0.2537844681E-11   0.3327998455E+02   0.8640606279E+01   0.2711270614E-05   0.1695756852E+02  -0.5087895835E-03  -0.2592450674E-03
   0.2763551920E+01   0.2285636395E+01  -0.2387263442E-11   0.3328090814E+02   0.8639682678E+01   0.2711269687E-05   0.1695689748E+02  -0.5087926761E-03  -0.2592389903E-03
   0.3118522835E+01   0.1588966749E+01   0.7818906228E+00   0.3327998454E+02   0.8640606278E+01   0.2711269475E-05   0.1695756852E+02   0.5087895803E-03   0.2592450663E-03
   0.2763551920E+01   0.2285636395E+01   0.7818906228E+00   0.3328090814E+02   0.8639682677E+01   0.2711270133E-05   0.1695689748E+02   0.5087926788E-03   0.2592389922E-03
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="  0.1200D+02" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.2743792477E+02   0.1448266606E+02   0.2711228413E-05   0.1993424662E+02   0.4618249109E-03   0.3355312267E-03
   0.1415787211E+01   0.1028613908E+01   0.1271547996E-04   0.2743739616E+02   0.1448323583E+02  -0.4713879925E-04   0.1993440299E+02   0.1972060495E-08  -0.2778683023E-08
   0.9561884921E+00   0.1661197276E+01   0.1271548001E-04   0.2743739615E+02   0.1448323583E+02  -0.4713879934E-04   0.1993440299E+02  -0.2031750431E-08   0.2735407039E-08
  -0.4595837770E+00   0.6325628016E+00   0.0000000000E+00   0.2743683936E+02   0.1448375146E+02   0.2711228911E-05   0.1993459929E+02   0.4618209064E-03   0.3355367403E-03
   0.3794397180E-13  -0.5222539678E-13   0.7818906228E+00   0.2743792477E+02   0.1448266606E+02   0.2711228967E-05   0.1993424662E+02  -0.4618249118E-03  -0.3355312275E-03
   0.1415787211E+01   0.1028613908E+01   0.7818779073E+00   0.2743739615E+02   0.1448323583E+02  -0.4713879920E-04   0.1993440299E+02  -0.1973684952E-08   0.2777593877E-08
   0.9561884921E+00   0.1661197276E+01   0.7818779073E+00   0.2743739615E+02   0.1448323583E+02  -0.4713879921E-04   0.1993440298E+02   0.2033277331E-08  -0.2734206406E-08
  -0.4595837770E+00   0.6325628016E+00   0.7818906228E+00   0.2743683936E+02   0.1448375146E+02   0.2711228168E-05   0.1993459929E+02  -0.4618209053E-03  -0.3355367396E-03
   0.2831559480E+01   0.2057248383E+01  -0.2537844681E-11   0.2743683936E+02   0.1448375146E+02   0.2711237966E-05   0.1993459929E+02  -0.4618209670E-03  -0.3355367841E-03
   0.2371975703E+01   0.2689811185E+01  -0.2387263442E-11   0.2743792476E+02   0.1448266606E+02   0.2711237120E-05   0.1993424662E+02  -0.4618249697E-03  -0.3355312692E-03
   0.2831559480E+01   0.2057248383E+01   0.7818906228E+00   0.2743683936E+02   0.1448375146E+02   0.2711237135E-05   0.1993459929E+02   0.4618209641E-03   0.3355367825E-03
   0.2371975703E+01   0.2689811185E+01   0.7818906228E+00   0.2743792476E+02   0.1448266605E+02   0.2711237464E-05   0.1993424662E+02   0.4618249721E-03   0.3355312714E-03
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="  0.1250D+02" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.2096086605E+02   0.2095972478E+02   0.2711228575E-05   0.2096029270E+02   0.4036505423E-03   0.4036457237E-03
   0.1237445855E+01   0.1237427879E+01   0.1271548344E-04   0.2096031599E+02   0.2096031599E+02  -0.4713881210E-04   0.2096027170E+02   0.2382469041E-08  -0.2435971563E-08
   0.6845477178E+00   0.1790326016E+01   0.1271548349E-04   0.2096031599E+02   0.2096031599E+02  -0.4713881185E-04   0.2096027170E+02  -0.2434650462E-08   0.2383893860E-08
  -0.5528801615E+00   0.5528801615E+00   0.0000000000E+00   0.2095972478E+02   0.2096086604E+02   0.2711229053E-05   0.2096029270E+02   0.4036457246E-03   0.4036505430E-03
   0.4564667055E-13  -0.4564667055E-13   0.7818906228E+00   0.2096086604E+02   0.2095972478E+02   0.2711229140E-05   0.2096029270E+02  -0.4036505431E-03  -0.4036457246E-03
   0.1237445855E+01   0.1237427879E+01   0.7818779073E+00   0.2096031599E+02   0.2096031599E+02  -0.4713881209E-04   0.2096027170E+02  -0.2383893874E-08   0.2434650894E-08
   0.6845477178E+00   0.1790326016E+01   0.7818779073E+00   0.2096031599E+02   0.2096031599E+02  -0.4713881178E-04   0.2096027170E+02   0.2435968393E-08  -0.2382471327E-08
  -0.5528801615E+00   0.5528801615E+00   0.7818906228E+00   0.2095972478E+02   0.2096086604E+02   0.2711228055E-05   0.2096029270E+02  -0.4036457236E-03  -0.4036505422E-03
   0.2474873734E+01   0.2474873734E+01  -0.2537844681E-11   0.2095972478E+02   0.2096086604E+02   0.2711238174E-05   0.2096029270E+02  -0.4036457776E-03  -0.4036505958E-03
   0.1921993573E+01   0.3027753896E+01  -0.2387263442E-11   0.2096086604E+02   0.2095972478E+02   0.2711237126E-05   0.2096029270E+02  -0.4036505937E-03  -0.4036457749E-03
   0.2474873734E+01   0.2474873734E+01   0.7818906228E+00   0.2095972478E+02   0.2096086604E+02   0.2711237261E-05   0.2096029270E+02   0.4036457749E-03   0.4036505937E-03
   0.1921993573E+01   0.3027753896E+01   0.7818906228E+00   0.2096086604E+02   0.2095972478E+02   0.2711237565E-05   0.2096029270E+02   0.4036505957E-03   0.4036457775E-03
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="  0.1300D+02" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.1448375146E+02   0.2743683936E+02   0.2711228380E-05   0.1993459929E+02   0.3355370265E-03   0.4618213002E-03
   0.1028634475E+01   0.1415772269E+01   0.1271549083E-04   0.1448323583E+02   0.2743739616E+02  -0.4713883858E-04   0.1993440299E+02   0.2734209506E-08  -0.2033282809E-08
   0.3960511068E+00   0.1875370988E+01   0.1271549088E-04   0.1448323583E+02   0.2743739615E+02  -0.4713883862E-04   0.1993440299E+02  -0.2777604353E-08   0.1973680669E-08
  -0.6325628016E+00   0.4595837770E+00   0.0000000000E+00   0.1448266606E+02   0.2743792477E+02   0.2711229178E-05   0.1993424662E+02   0.3355315142E-03   0.4618253065E-03
   0.5222539678E-13  -0.3794397180E-13   0.7818906228E+00   0.1448375146E+02   0.2743683936E+02   0.2711229002E-05   0.1993459929E+02  -0.3355370271E-03  -0.4618213012E-03
   0.1028634475E+01   0.1415772269E+01   0.7818779073E+00   0.1448323583E+02   0.2743739615E+02  -0.4713883856E-04   0.1993440299E+02  -0.2735410959E-08   0.2031755321E-08
   0.3960511068E+00   0.1875370988E+01   0.7818779073E+00   0.1448323583E+02   0.2743739615E+02  -0.4713883869E-04   0.1993440298E+02   0.2778679359E-08  -0.1972075018E-08
  -0.6325628016E+00   0.4595837770E+00   0.7818906228E+00   0.1448266606E+02   0.2743792476E+02   0.2711228317E-05   0.1993424662E+02  -0.3355315134E-03  -0.4618253055E-03
   0.2057248383E+01   0.2831559480E+01  -0.2537844681E-11   0.1448266606E+02   0.2743792477E+02   0.2711238191E-05   0.1993424662E+02  -0.3355315583E-03  -0.4618253669E-03
   0.1424685581E+01   0.3291143257E+01  -0.2387263442E-11   0.1448375146E+02   0.2743683936E+02   0.2711237219E-05   0.1993459929E+02  -0.3355370693E-03  -0.4618213588E-03
   0.2057248383E+01   0.2831559480E+01   0.7818906228E+00   0.1448266606E+02   0.2743792476E+02   0.2711237322E-05   0.1993424662E+02   0.3355315560E-03   0.4618253645E-03
   0.1424685581E+01   0.3291143257E+01   0.7818906228E+00   0.1448375146E+02   0.2743683936E+02   0.2711238006E-05   0.1993459929E+02   0.3355370708E-03   0.4618213616E-03
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="  0.1350D+02" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.8640606130E+01   0.3327998470E+02   0.2711228461E-05   0.1695756841E+02   0.2591612413E-03   0.5086250697E-03
   0.7944946998E+00   0.1559255647E+01   0.1271549085E-04   0.8640177401E+01   0.3328045458E+02  -0.4713883871E-04   0.1695721602E+02   0.3018621410E-08  -0.1580527170E-08
   0.9780240317E-01   0.1914238102E+01   0.1271549090E-04   0.8640177400E+01   0.3328045458E+02  -0.4713883879E-04   0.1695721601E+02  -0.3052156412E-08   0.1514873974E-08
  -0.6966696461E+00   0.3549709146E+00   0.0000000000E+00   0.8639682828E+01   0.3328090800E+02   0.2711229154E-05   0.1695689759E+02   0.2591551702E-03   0.5086281644E-03
   0.5751816041E-13  -0.2930696654E-13   0.7818906228E+00   0.8640606129E+01   0.3327998469E+02   0.2711229002E-05   0.1695756841E+02  -0.2591612418E-03  -0.5086250708E-03
   0.7944946998E+00   0.1559255647E+01   0.7818779073E+00   0.8640177400E+01   0.3328045458E+02  -0.4713883870E-04   0.1695721601E+02  -0.3019570819E-08   0.1578827032E-08
   0.9780240317E-01   0.1914238102E+01   0.7818779073E+00   0.8640177399E+01   0.3328045458E+02  -0.4713883873E-04   0.1695721601E+02   0.3052972208E-08  -0.1513108931E-08
  -0.6966696461E+00   0.3549709146E+00   0.7818906228E+00   0.8639682827E+01   0.3328090799E+02   0.2711228403E-05   0.1695689759E+02  -0.2591551695E-03  -0.5086281633E-03
   0.1588966749E+01   0.3118522835E+01  -0.2537844681E-11   0.8639682828E+01   0.3328090800E+02   0.2711238257E-05   0.1695689759E+02  -0.2591552042E-03  -0.5086282309E-03
   0.8922971030E+00   0.3473493749E+01  -0.2387263442E-11   0.8640606129E+01   0.3327998469E+02   0.2711237324E-05   0.1695756841E+02  -0.2591612744E-03  -0.5086251343E-03
   0.1588966749E+01   0.3118522835E+01   0.7818906228E+00   0.8639682827E+01   0.3328090799E+02   0.2711237275E-05   0.1695689759E+02   0.2591552024E-03   0.5086282282E-03
   0.8922971030E+00   0.3473493749E+01   0.7818906228E+00   0.8640606128E+01   0.3327998469E+02   0.2711238056E-05   0.1695756841E+02   0.2591612755E-03   0.5086251373E-03
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="  0.1400D+02" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.4003397819E+01   0.3791719301E+02   0.2711228526E-05   0.1232061259E+02   0.1764040455E-03   0.5429048006E-03
   0.5407918287E+00   0.1664344976E+01   0.1271549084E-04   0.4003099977E+01   0.3791753201E+02  -0.4713883904E-04   0.1232013859E+02   0.3228705818E-08  -0.1088853685E-08
  -0.2028545202E+00   0.1905970322E+01   0.1271549089E-04   0.4003099976E+01   0.3791753200E+02  -0.4713883865E-04   0.1232013859E+02  -0.3251558857E-08   0.1018757466E-08
  -0.7436221719E+00   0.2416174902E+00   0.0000000000E+00   0.4002727001E+01   0.3791786382E+02   0.2711228941E-05   0.1231968928E+02   0.1763975650E-03   0.5429069075E-03
   0.6139463604E-13  -0.1994832649E-13   0.7818906228E+00   0.4003397819E+01   0.3791719300E+02   0.2711229301E-05   0.1232061258E+02  -0.1764040458E-03  -0.5429048018E-03
   0.5407918287E+00   0.1664344976E+01   0.7818779073E+00   0.4003099976E+01   0.3791753200E+02  -0.4713883892E-04   0.1232013859E+02  -0.3229378626E-08   0.1087021426E-08
  -0.2028545202E+00   0.1905970322E+01   0.7818779073E+00   0.4003099976E+01   0.3791753200E+02  -0.4713883850E-04   0.1232013859E+02   0.3252086430E-08  -0.1016892481E-08
  -0.7436221719E+00   0.2416174902E+00   0.7818906228E+00   0.4002727001E+01   0.3791786382E+02   0.2711228193E-05   0.1231968928E+02  -0.1763975645E-03  -0.5429069063E-03
   0.1081559480E+01   0.3328697807E+01  -0.2537844681E-11   0.4002727001E+01   0.3791786382E+02   0.2711238371E-05   0.1231968928E+02  -0.1763975882E-03  -0.5429069786E-03
   0.3379373084E+00   0.3570315297E+01  -0.2387263442E-11   0.4003397819E+01   0.3791719300E+02   0.2711237401E-05   0.1232061258E+02  -0.1764040681E-03  -0.5429048696E-03
   0.1081559480E+01   0.3328697807E+01   0.7818906228E+00   0.4002727001E+01   0.3791786382E+02   0.2711237465E-05   0.1231968928E+02   0.1763975868E-03   0.5429069756E-03
   0.3379373084E+00   0.3570315297E+01   0.7818906228E+00   0.4003397818E+01   0.3791719300E+02   0.2711238026E-05   0.1232061258E+02   0.1764040687E-03   0.5429048728E-03
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="  0.1450D+02" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.1026048790E+01   0.4089454204E+02   0.2711228420E-05   0.6477629355E+01   0.8930319692E-04   0.5638164141E-03
   0.2737728679E+00   0.1728452608E+01   0.1271549084E-04   0.1025913005E+01   0.4089471898E+02  -0.4713883877E-04   0.6477080163E+01   0.3359289191E-08  -0.5703672175E-09
  -0.4985164921E+00   0.1850771226E+01   0.1271549089E-04   0.1025913005E+01   0.4089471898E+02  -0.4713883859E-04   0.6477080163E+01  -0.3370895632E-08   0.4975595258E-09
  -0.7722642518E+00   0.1223146413E+00   0.0000000000E+00   0.1025696121E+01   0.4089489470E+02   0.2711229018E-05   0.6476543948E+01   0.8929646661E-04   0.5638174813E-03
   0.6375937198E-13  -0.1009849245E-13   0.7818906228E+00   0.1026048790E+01   0.4089454203E+02   0.2711229073E-05   0.6477629354E+01  -0.8930319699E-04  -0.5638164154E-03
   0.2737728679E+00   0.1728452608E+01   0.7818779073E+00   0.1025913005E+01   0.4089471898E+02  -0.4713883877E-04   0.6477080163E+01  -0.3359667051E-08   0.5684528622E-09
  -0.4985164921E+00   0.1850771226E+01   0.7818779073E+00   0.1025913004E+01   0.4089471897E+02  -0.4713883854E-04   0.6477080162E+01   0.3371124923E-08  -0.4956346141E-09
  -0.7722642518E+00   0.1223146413E+00   0.7818906228E+00   0.1025696120E+01   0.4089489470E+02   0.2711228298E-05   0.6476543948E+01  -0.8929646630E-04  -0.5638174801E-03
   0.5475206276E+00   0.3456909192E+01  -0.2537844681E-11   0.1025696121E+01   0.4089489470E+02   0.2711238150E-05   0.6476543949E+01  -0.8929647846E-04  -0.5638175551E-03
  -0.2247436241E+00   0.3579223833E+01  -0.2387263442E-11   0.1026048790E+01   0.4089454203E+02   0.2711237121E-05   0.6477629354E+01  -0.8930320843E-04  -0.5638164858E-03
   0.5475206276E+00   0.3456909192E+01   0.7818906228E+00   0.1025696120E+01   0.4089489470E+02   0.2711237486E-05   0.6476543948E+01   0.8929647752E-04   0.5638175519E-03
  -0.2247436241E+00   0.3579223833E+01   0.7818906228E+00   0.1026048790E+01   0.4089454203E+02   0.2711237937E-05   0.6477629353E+01   0.8930320851E-04   0.5638164890E-03
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="  0.1500D+02" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.2711239995E-05   0.4192058812E+02   0.2711228583E-05   0.5706316631E-03   0.3407249270E-08   0.5708449963E-03
   0.1271061068E-04   0.1750000000E+01   0.1271549084E-04   0.4428805882E-04   0.4192058770E+02  -0.4713883871E-04  -0.3587329469E-10   0.3407155429E-08  -0.3783112223E-10
  -0.7819033334E+00   0.1750000000E+01   0.1271549089E-04   0.4428805900E-04   0.4192058769E+02  -0.4713883851E-04   0.3786013083E-10  -0.3407229488E-08  -0.3589185627E-10
  -0.7818906228E+00   0.0000000000E+00   0.0000000000E+00   0.2711240453E-05   0.4192058811E+02   0.2711229038E-05  -0.5706316618E-03  -0.3407133013E-08   0.5708449975E-03
   0.6455414057E-13  -0.7888609052E-29   0.7818906228E+00   0.2711240499E-05   0.4192058811E+02   0.2711229086E-05   0.5706316617E-03  -0.3407133071E-08  -0.5708449975E-03
   0.1271061069E-04   0.1750000000E+01   0.7818779073E+00   0.4428805884E-04   0.4192058769E+02  -0.4713883867E-04  -0.3783710871E-10  -0.3407229957E-08   0.3589086639E-10
  -0.7819033334E+00   0.1750000000E+01   0.7818779073E+00   0.4428805898E-04   0.4192058769E+02  -0.4713883852E-04   0.3587227764E-10   0.3407155465E-08   0.3782701562E-10
  -0.7818906228E+00   0.1110223025E-15   0.7818906228E+00   0.2711239644E-05   0.4192058811E+02   0.2711228231E-05  -0.5706316630E-03   0.3407249885E-08  -0.5708449962E-03
  -0.2386091325E-11   0.3500000000E+01  -0.2537844681E-11   0.2711231605E-05   0.4192058811E+02   0.2711237904E-05  -0.5706317344E-03   0.3406979940E-08  -0.5708450723E-03
  -0.7818906228E+00   0.3500000000E+01  -0.2387263442E-11   0.2711230695E-05   0.4192058811E+02   0.2711236990E-05   0.5706317378E-03  -0.3407408447E-08  -0.5708450689E-03
  -0.2473132810E-11   0.3500000000E+01   0.7818906228E+00   0.2711231097E-05   0.4192058811E+02   0.2711237395E-05  -0.5706317377E-03  -0.3407406101E-08   0.5708450689E-03
  -0.7818906228E+00   0.3500000000E+01   0.7818906228E+00   0.2711231724E-05   0.4192058810E+02   0.2711238017E-05   0.5706317343E-03   0.3406978668E-08   0.5708450721E-03
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
